date,state,industry,turnover,yoy_pct
2025-06-01,Australian Capital Territory,"Cafes, restaurants and catering services",73.1,9.267563527653188
2025-06-01,Australian Capital Territory,"Cafes, restaurants and takeaway food services",114.5,5.822550831792972
2025-06-01,Australian Capital Territory,"Clothing, footwear and personal accessory retailing",43.8,2.336448598130847
2025-06-01,Australian Capital Territory,Electrical and electronic goods retailing,49.7,5.7446808510638325
2025-06-01,Australian Capital Territory,Food retailing,266.0,-0.2998500749625266
2025-06-01,Australian Capital Territory,Household goods retailing,124.9,1.1336032388663986
2025-06-01,Australian Capital Territory,Other retailing,88.1,3.525264394829608
2025-06-01,Australian Capital Territory,Other retailing n.e.c.,40.7,-2.1634615384615308
2025-06-01,Australian Capital Territory,Supermarket and grocery stores,229.1,0.6590509666080768
2025-06-01,Australian Capital Territory,Total (Industry),674.4,1.9963702359346636
2025-06-01,New South Wales,"Cafes, restaurants and catering services",1056.9,4.138338752586468
2025-06-01,New South Wales,"Cafes, restaurants and takeaway food services",1653.4,6.2186817422587914
2025-06-01,New South Wales,"Clothing, footwear and personal accessory retailing",1180.4,5.922469490308679
2025-06-01,New South Wales,Electrical and electronic goods retailing,725.2,5.976910711676187
2025-06-01,New South Wales,Food retailing,4272.9,2.4381472957422323
2025-06-01,New South Wales,Household goods retailing,1862.0,5.741382247714233
2025-06-01,New South Wales,Other retailing,1661.9,3.9922407859332987
2025-06-01,New South Wales,Other retailing n.e.c.,847.8,-0.8305064919873706
2025-06-01,New South Wales,Supermarket and grocery stores,3521.0,2.8029197080291945
2025-06-01,New South Wales,Total (Industry),11237.6,4.270046578952269
2025-06-01,Northern Territory,"Cafes, restaurants and catering services",30.0,-2.28013029315961
2025-06-01,Northern Territory,"Cafes, restaurants and takeaway food services",53.8,-0.5545286506469571
2025-06-01,Northern Territory,Electrical and electronic goods retailing,21.6,14.893617021276606
2025-06-01,Northern Territory,Food retailing,168.2,2.0631067961164984
2025-06-01,Northern Territory,Household goods retailing,57.4,9.751434034416828
2025-06-01,Northern Territory,Other retailing,43.9,-0.2272727272727315
2025-06-01,Northern Territory,Other retailing n.e.c.,18.4,-11.961722488038273
2025-06-01,Northern Territory,Supermarket and grocery stores,149.0,1.9151846785225857
2025-06-01,Northern Territory,Total (Industry),356.0,2.771362586605086
